bias_z,mode_index,observed_ghz
# Source: Zhang et al., Phys. Rev. Applied 24, 034003 (2025), Fig. 2 data.
# Dataset: https://doi.org/10.5281/zenodo.16791932 (CC BY 4.0).
# Modified: mean-centred response, local-peak detection, then two model-guided branch associations per bias.
0.54,1,4.600
0.54,2,4.800
0.55,1,4.595
0.55,2,4.785
0.56,1,4.585
0.56,2,4.760
0.57,1,4.570
0.57,2,4.745
0.58,1,4.555
0.58,2,4.725
0.59,1,4.540
0.59,2,4.710
0.60,1,4.520
0.60,2,4.700
0.61,1,4.490
0.61,2,4.690
0.62,1,4.465
0.62,2,4.690
0.63,1,4.435
0.63,2,4.675
0.64,1,4.405
0.64,2,4.675
0.65,1,4.375
0.65,2,4.670
0.67,0,4.110
0.67,1,4.310
0.68,0,4.100
0.68,1,4.275
0.69,0,4.095
0.69,1,4.245
0.70,0,4.085
0.70,1,4.220
0.71,0,4.065
0.71,1,4.195
0.72,0,4.045
0.72,1,4.180
0.73,0,4.015
0.73,1,4.165
0.74,0,3.980
0.74,1,4.160
0.75,0,3.945
0.75,1,4.150
0.76,0,3.900
0.76,1,4.170
0.77,0,3.860
0.77,1,4.145
0.78,0,3.815
0.78,1,4.125
0.79,0,3.770
0.79,1,4.125
0.80,0,3.725
0.80,1,4.140
