bias_z,frequency_ghz,mean_centered_abs_response
# Source: Zhang et al., Phys. Rev. Applied 24, 034003 (2025), Fig. 2 data.
# Dataset: https://doi.org/10.5281/zenodo.16791932 (CC BY 4.0).
# Modified: file-wise mean subtraction, absolute value, and restriction to the two comparison windows.
0.54,4.945000,13.0020775521
0.54,4.940000,17.7718026213
0.54,4.935000,12.2063785595
0.54,4.930000,15.3077062268
0.54,4.925000,16.0929599775
0.54,4.920000,19.9502600045
0.54,4.915000,16.0428275662
0.54,4.910000,18.4681223259
0.54,4.905000,19.1836662687
0.54,4.900000,15.5095249668
0.54,4.895000,18.8570406697
0.54,4.890000,15.8799897176
0.54,4.885000,17.309461023
0.54,4.880000,18.0988953804
0.54,4.875000,20.9324543123
0.54,4.870000,22.863705674
0.54,4.865000,20.2301865261
0.54,4.860000,27.5839021427
0.54,4.855000,28.6895353268
0.54,4.850000,33.5584413998
0.54,4.845000,31.8629689798
0.54,4.840000,42.9934971538
0.54,4.835000,55.4278564158
0.54,4.830000,51.8618759028
0.54,4.825000,63.2994198068
0.54,4.820000,53.6305625478
0.54,4.815000,54.4995907978
0.54,4.810000,47.6995686308
0.54,4.805000,42.2141378298
0.54,4.800000,24.0909709975
0.54,4.800000,48.5000691706
0.54,4.795000,9.59358722482
0.54,4.790000,10.6378625261
0.54,4.785000,13.2745796242
0.54,4.780000,13.3204578389
0.54,4.780000,8.38537934464
0.54,4.775000,6.62482112434
0.54,4.770000,10.7211006702
0.54,4.765000,6.81097381684
0.54,4.760000,9.67283676144
0.54,4.755000,12.6290682578
0.54,4.750000,7.06654663374
0.54,4.745000,8.85766328864
0.54,4.740000,8.49177124284
0.54,4.735000,10.6774104847
0.54,4.730000,9.89658107884
0.54,4.725000,7.94507477124
0.54,4.720000,8.53687491464
0.54,4.715000,7.57075080774
0.54,4.710000,8.76012390994
0.54,4.655000,4.60324430608
0.54,4.650000,2.03233593268
0.54,4.645000,5.06711106948
0.54,4.640000,14.2791275029
0.54,4.635000,92.9757690268
0.54,4.630000,11.9247832365
0.54,4.625000,32.7770778068
0.54,4.620000,15.7733766692
0.54,4.615000,8.99005021282
0.54,4.610000,11.9867198902
0.54,4.605000,13.4590716021
0.54,4.600000,87.6747001578
0.54,4.595000,16.3283380325
0.54,4.590000,2.28618684132
0.54,4.585000,0.379856808079
0.54,4.580000,5.64861142268
0.54,4.575000,4.39791322718
0.54,4.570000,5.66175207168
0.54,4.565000,3.02129566728
0.54,4.560000,3.58806784028
0.54,4.555000,4.20911193188
0.54,4.550000,3.92324603498
0.54,4.545000,1.68602750308
0.54,4.540000,3.90448966298
0.54,4.535000,3.88670936998
0.54,4.530000,1.70277489668
0.54,4.525000,3.41561142018
0.54,4.520000,3.65320550848
0.54,4.515000,2.00925793508
0.54,4.510000,4.31666830612
0.54,4.505000,1.10761237348
0.54,4.500000,3.30932003368
0.54,4.495000,0.181599261879
0.54,4.490000,2.18587348568
0.54,4.485000,4.67386226538
0.54,4.480000,5.52479678658
0.54,4.475000,3.75466198068
0.54,4.470000,2.22538462832
0.54,4.465000,1.49001132538
0.54,4.460000,3.09523241058
0.54,4.455000,5.02059280748
0.54,4.450000,6.05729699148
0.54,4.445000,1.36343047208
0.54,4.440000,0.0740263017214
0.54,4.435000,3.32028846208
0.54,4.430000,5.13089125418
0.54,4.425000,0.520264469979
0.54,4.420000,3.26805300778
0.54,4.415000,3.57678076308
0.54,4.410000,0.513159702179
0.54,4.405000,0.873987536321
0.54,4.400000,4.06206307428
0.54,4.395000,0.690167780279
0.54,4.390000,4.88439782408
0.54,4.385000,6.68526583588
0.54,4.380000,2.70422773778
0.54,4.375000,5.74418750208
0.54,4.370000,0.771963563879
0.54,4.365000,3.18014535848
0.54,4.360000,6.45261849998
0.54,4.355000,1.40311201942
0.54,4.350000,5.21516216488
0.54,4.345000,7.14753568858
0.54,4.340000,3.71760146478
0.54,4.335000,6.13731539888
0.54,4.330000,4.03745076918
0.54,4.325000,5.80862412748
0.54,4.320000,4.15678994518
0.54,4.315000,5.70375097288
0.54,4.310000,4.95701108218
0.54,4.305000,2.37738405052
0.55,4.945000,10.9084091141
0.55,4.940000,12.6226913416
0.55,4.935000,14.2067238419
0.55,4.930000,8.69809153388
0.55,4.925000,13.1684739355
0.55,4.920000,12.0604439039
0.55,4.915000,9.44784015918
0.55,4.910000,13.1734415091
0.55,4.905000,15.9855890837
0.55,4.900000,9.91582691738
0.55,4.895000,13.3227201725
0.55,4.890000,16.8780658139
0.55,4.885000,13.4752106879
0.55,4.880000,19.3344194845
0.55,4.875000,17.7566590831
0.55,4.870000,19.470925351
0.55,4.865000,18.3764949561
0.55,4.860000,24.3246975213
0.55,4.855000,22.7777517681
0.55,4.850000,23.5566022984
0.55,4.845000,24.3339310216
0.55,4.840000,32.7272253688
0.55,4.835000,38.5136867818
0.55,4.830000,44.9799008088
0.55,4.825000,51.3617418998
0.55,4.820000,49.9086624398
0.55,4.815000,48.8655446968
0.55,4.810000,60.2040898978
0.55,4.805000,75.7829926138
0.55,4.800000,79.8685663468
0.55,4.800000,7.43211491622
0.55,4.795000,13.1879074081
0.55,4.790000,42.0702047406
0.55,4.785000,60.3638385086
0.55,4.780000,52.8349813556
0.55,4.780000,43.3397561013
0.55,4.775000,39.0709388333
0.55,4.770000,4.13188357474
0.55,4.765000,6.92857468924
0.55,4.760000,11.6379984377
0.55,4.755000,8.57738174354
0.55,4.750000,9.50397940014
0.55,4.745000,11.7411489126
0.55,4.740000,12.6176879564
0.55,4.735000,8.55569733114
0.55,4.730000,9.76295639834
0.55,4.725000,3.29710725164
0.55,4.720000,6.76411958144
0.55,4.715000,8.69636495514
0.55,4.710000,8.14550507444
0.55,4.655000,2.81552622808
0.55,4.650000,3.44192242778
0.55,4.645000,3.46731981618
0.55,4.640000,16.2456656472
0.55,4.635000,76.4634789538
0.55,4.630000,10.8550051441
0.55,4.625000,23.6206039387
0.55,4.620000,16.9097026651
0.55,4.615000,4.93155201322
0.55,4.610000,8.73399828922
0.55,4.605000,8.09775533032
0.55,4.600000,13.3175469584
0.55,4.595000,63.0319519518
0.55,4.590000,38.0554209258
0.55,4.585000,7.03525146952
0.55,4.580000,7.80406739878
0.55,4.575000,1.96967924468
0.55,4.570000,6.19271233718
0.55,4.565000,4.01241224068
0.55,4.560000,5.14827880458
0.55,4.555000,3.42345407358
0.55,4.550000,2.25859273658
0.55,4.545000,5.39330937018
